main_synonym,synonym_list
blossom,"blossom, blossoms, flower, flowers"
branch,"branch, branches, shoot, shoots, stems, twig, twigs"
bud,"bud, buds"
bulb,"bulb, bulbs"
cane,"cane, canes"
crown,"crown, crowns"
fern,"fern, ferns, leaf, leaves"
fruit,"fruit, fruits"
kernels,kernels
needle,"needle, needles"
nut,"nut, nuts"
overall,overall
pod,"pod, pods"
root,"root, roots"
seedling,"seedling, seedlings"
spear,"spear, spears"
trunk,trunk
tuber,"tuber, tubers"
vein,"vein, veins"
