main_synonym,synonym_list
berry,"berries, berry"
grapevine,"grapevine, grapevines, vines"
herb,"herb, herbs"
non-woody,"annual, herbaceous, non-woody"
plant,"plant, plants"
tree,"bush, bushes, shrub, shrubs, tree, trees, woody"
vegetable,"vegetable, vegetables"
