main_synonym,synonym_list
pig,"swine, piney woods rooter, eurasian boar., pig, razorback, hog, russian boar, wild pig, wild boar, pigs, wild hog"
plantain,"lance leaved plantain, common eurasian plantain, healing blade, dooryard plantain, wild sagot, cart-track plant, greater broad-leaf plantain, plantago, rib grass, common dooryard plantain, lance plantain, lance-leafed plantain, lanceleaf plantain, kemp-seed, ribgrass, english rib-grass, knock-heads, greater broad-leaved plantain, rib-wort, plantain, dog-ribs, broad leaved plantain, rib-grass, roundleaf plantain, greater broad leaved plantain, english rib grass, windles, common broad-leaved plantain, great plantain, lance-leaved english plantain, common broadleaf plantain, travellers foot, lance-leaf plantain, bird-seed plantain, long plantain, kempseed, lance-leaved plantain, leechwort, broad leaf plantain, round leaf plantain, chimney sweeps, jack-straws, broad-leaf plantain, ripple seed plantain, common ribwort, dog's-ribs, great broadleaf plantain, jackstraw, introduced narrow leaved plantain, nipple-seed plantain, door-yard plantain, tinker-tailor grass, large plantain, lamb's-foot, round leaved plantain, round-leafed plantain, jack straws, rib wort, cart track plant, buck plantain, wayside plantain, dog's rib, lance leaf plantain, wagbread, chimney-sweep, kemps, plantains, german psyllium, round-leaf plantain, chimney sweep, leech-wort, grand plantain, rippleseed plantain, introduced narrow-leaved plantain, black plantain, ripple plantain, hock-cockle, broad-leaved plantain, kemps seed, buck-plantain, broad leafed plantain, common ribwort plantain, round-leaved plantain, ribwort, way-side plantain, broad-leafed plantain, ripple-seed plantain, english buckhorn plantain, healing-blade, lance-leaf english plantain, chimney-sweeps, lamb's foot, hock cockle, lanceolate plantain, broadleaf plantain, greater plantain, lanceolate english plantain"
psyllidae,"psyllidae, psyllids"
purslane,"notched purslane, green purslane, summer purslane, western pusley, rough-seeded purslane, little-hogweed, common pusley, common purslane, common purslain, duckweed pursley, common pursley, inland pigweed, little hogweed purslane, green leaf purslane, fatweed, common pussley, purslane, common pursland, rough-seed purslane, common purselane, little hogweed, duckweed purslane, garden purslain, kitchen-garden purslane, roughseed purslane, weed purslain, weed purslane"
rabbit,"black-tailed hare, rabbit, bunny, rabbits, bunny rabbit, hare, brush rabbit, coney, cottontail, bunnies, jackrabbit"
raccoon,"raccoons, common raccoon, raccoon, racoon, trash panda, northern raccoon"
scale,"scale, scales"
scorpion,"scorpion, scorpions, bark scorpion, stripedtail scorpion, arizona hairy scorpion"
sharpshooter,"sharpshooter, sharpshooters"
skunk,"polecat, skunk, civet cat, skunks"
slug,"slugs, slug"
snail,"snail, snails"
snake,"snakes, snake"
springtail,"springtails, springtail"
spurge,"spotted pursley, common spotted sandmat, spurges, spotted eye-bright, pretty spurge, black purslane, petty euphorbia, serpent euphorbia, spotted mat spurge, spurge, matted sand-mat, radium-weed, radium weed, round-leaved spurge, round-leaved spreading spurge, radiumweed, serpent spurge, round-leaf mat-spurge, spotted milk spurge, spotted mat-spurge, spotted spurge, spotted euphorbia, round-leaf spurge, round-leaf spreading spurge, spotted creeping spurge, spotted purslane, stinging milkweed, spotted sandmat, creeping spurge, blotched spurge, mat euphorbia, spotted pusley, radium plant, matted broom-spurge, petty spurge, black pursley, round leaved spurge, matted broomspurge, spotted broomspurge, matted sandmat, spotted milk-purslane, spotted milk purslane, black spurge, spotted eyebright, round-leafed spurge, roundleaf mat spurge, common spotted spurge, serpent mat-spurge, black pusley"
squirrel,"tree squirrel, eastern gray squirrel, squirrel, douglas squirrel, chickaree, eastern fox squirrel, squirrels, western gray squirrel, ground squirrel"
starthistle,"yellow cock spur, barnaby star thistle, st barnaby thistle, st barnaby's thistle, barnaby starthistle, yellow starthistle, yellow star-thistle, barnaby's star-thistle, yellow-cockspur, starthistles, starthistle, st barnaby's star thistle, yellow cockspur, st barnaby starthistle, yellow-starthistle, st barnaby's star-thistle, barnaby star-thistle, golden star-thistle, yellow star thistle, barnaby's starthistle, phalaritha, golden starthistle, yellow centaurea, st barnaby's starthistle, st barnaby star-thistle, yellow cock-spur, barnaby thistle, barnaby's star thistle, golden star thistle, barnaby's thistle, st barnaby star thistle"
termite,"termite, termites"
thistle,"thistle, russian-cactus, thistles, ukraine salzkraut, wind witch, russianthistle, ukraine-salzkraut, salsola, russian thistle tumbleweed, russian-thistle, russian tumbleweed, wind-witch, tumbleweed, windwitch, tumbling russian thistle, russian cactus"
thrip,"thrip, thrips"
vines,vines
vole,"voles, field mouse, field vole, common vole, meadow mice, vole"
wasp,"yellowjackets, horntails, yellow jackets, hornets, wasp, wasps, yellow jacket, meat bees, meat bee, hornet"
weed,"weeds, weed"
woad,"blue woad, asp of jerusalem, asp-of-jerusalem, blue dye woad, dyers woad, woad, dyer's-woad, dye woad, dyer's woad, marlahan mustard, dyers' woad"
woodpecker,"woodpeckers, acorn woodpecker, sapsuckers, wood hen, flickers, woodpecker, northern flicker"
woodsorrel,"woodsorrel, wood sorrel, wood-sorrels, oxalis, wood-sorrel"
worm,"fruitworm, worms, worm, larva, pinworm, earworm, caterpillar, larvae, caterpillars, oakworm, hornworm, looper, cutworm, oakworms"
